,id,bedrooms,bathrooms,half_bathrooms,lot_size,construction_size,age,property_type_id_id,real_age,latitude,longitude,postal_code,settlement,price,balcony,water strorage,air_conditioning,pool,furniture,accasible_for_handicap,first_floor,security,parking_space,kitchen,garden,roof_Garden,service_room,gated_community,price_per_area,price_small,price_per_area_small,geometry,high_impact/area,low_impact/area
1230,2051,2.0,2.0,0.0,77.0,77.0,7,1.0,7,19.39151,-99.178768,03810,napoles,5000000.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,64935.06493506493,5.0,0.0649350649350649,POINT (-99.178768 19.39151),81.82351915061732,538.8977114358983
1231,1313,2.0,2.0,1.0,140.0,140.0,8,1.0,8,19.346785,-99.256251,05600,san mateo tlaltenango,7800000.0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,55714.28571428572,7.8,0.0557142857142857,POINT (-99.256251 19.346785),1.3223553422549978,4.628243697892492
1232,13644,2.0,1.0,0.0,73.0,73.0,50,1.0,50,19.392537,-99.15381,03020,narvarte oriente,2625000.0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,35958.90410958904,2.625,0.035958904109589,POINT (-99.15381 19.392537),55.12815972278842,323.09195996684616
1233,9262,2.0,1.0,0.0,85.0,85.0,18,1.0,18,19.420245,-99.169589,06700,roma norte,4795000.0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,56411.76470588235,4.795,0.0564117647058823,POINT (-99.169589 19.420245),113.71224099231829,506.603559999587
1234,6191,2.0,2.0,0.0,65.0,65.0,1,1.0,1,19.328325,-99.15846,04300,ajusco,2076000.0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,31938.46153846154,2.076,0.0319384615384615,POINT (-99.15846 19.328325),33.567900503965326,148.35326190231055
1235,21706,2.0,2.0,0.0,138.0,138.0,2022,1.0,0,19.3584743,-99.1455504,03300,portales sur,4429165.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,32095.39855072464,4.429165,0.0320953985507246,POINT (-99.1455504 19.3584743),58.277273873852444,230.4653532881147
1236,8880,2.0,2.0,0.0,90.0,90.0,1,1.0,1,19.411167,-99.167025,06100,hipódromo,5920000.0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,65777.77777777778,5.92,0.0657777777777777,POINT (-99.167025 19.411167),90.61269196516918,403.2212656263627
1237,37587,2.0,2.0,0.0,178.0,178.0,7,1.0,7,19.379941,-99.154372,03600,vertiz narvarte,5500000.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,30898.876404494385,5.5,0.0308988764044943,POINT (-99.154372 19.379941),45.94515521738642,246.06183127533617
1238,28168,3.0,2.0,0.0,81.0,81.0,0,1.0,0,19.404184,-99.115316,08400,granjas méxico,3061762.82,False,False,False,True,False,False,False,True,False,False,True,False,True,False,37799.54098765432,3.06176282,0.0377995409876543,POINT (-99.115316 19.404184),64.26647152586267,170.58967809438545
1239,19744,3.0,2.0,1.0,50.0,140.0,4,3.0,4,19.387793,-99.187547,03800,san pedro de los pinos,5950000.0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,119000.0,5.95,0.119,POINT (-99.187547 19.387793),75.97036113992718,304.38372793914624
