id,bedrooms,bathrooms,half_bathrooms,lot_size,construction_size,age,property_type_id_id,real_age,latitude,longitude,postal_code,settlement,price,balcony,water strorage,air_conditioning,pool,furniture,accasible_for_handicap,first_floor,security,parking_space,kitchen,garden,roof_Garden,service_room,gated_community,price_per_area,price_small,price_per_area_small
27985,2.0,2.0,0.0,64.0,64.0,0,1.0,0,19.404184,-99.115316,08400,granjas méxico,2096319.77,False,False,False,True,False,False,False,True,False,False,True,False,True,False,32754.99640625,2.09631977,0.03275499640625
26297,3.0,2.0,0.0,142.0,93.0,0,1.0,0,19.380725,-99.159091,06760,roma sur,5520160.0,False,False,False,False,False,False,False,True,False,False,True,False,False,False,38874.366197183095,5.52016,0.0388743661971831
26047,2.0,2.0,0.0,63.0,63.0,1,1.0,1,19.397645,-99.157611,03020,narvarte poniente,3166000.0,False,False,False,False,False,False,False,True,False,False,True,False,False,False,50253.968253968254,3.166,0.05025396825396825
26049,2.0,2.0,0.0,76.0,76.0,0,1.0,0,19.384951,-99.182208,03710,ciudad de los deportes,3788000.0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,49842.10526315789,3.788,0.049842105263157896
28165,2.0,2.0,0.0,123.0,123.0,4,1.0,4,19.366061,-99.30038,05270,manzanastitla,4607600.0,False,False,False,True,False,False,False,True,False,False,True,False,False,False,37460.16260162602,4.6076,0.03746016260162602
25532,2.0,2.0,0.0,83.0,77.0,1,1.0,1,19.385737,-99.180502,03840,ampliación nápoles,5100000.0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,61445.78313253012,5.1,0.06144578313253012
7931,2.0,1.0,0.0,57.0,57.0,23,1.0,23,19.450668,-99.18596,11440,san juanico,2336000.0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,40982.45614035088,2.336,0.04098245614035088
25568,2.0,2.0,0.0,92.0,88.0,1,1.0,1,19.385737,-99.180502,03840,ampliación nápoles,4700000.0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,51086.95652173913,4.7,0.05108695652173913
26044,2.0,2.0,0.0,71.0,64.0,0,1.0,0,19.385581,-99.141016,03500,nativitas,3267680.0,False,False,False,True,False,False,False,True,False,False,True,False,False,False,46023.66197183099,3.26768,0.04602366197183099
27824,2.0,2.0,0.0,65.0,65.0,2,1.0,2,19.392885,-99.158203,03020,narvarte poniente,3509700.0,False,False,False,False,False,False,False,True,False,False,True,False,False,False,53995.38461538462,3.5097,0.05399538461538462
131,2.0,2.0,0.0,66.0,66.0,0,1.0,0,19.3772357,-99.169712,03100,del valle centro,4773737.0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,72329.34848484848,4.773737,0.07232934848484848
5496,3.0,2.0,1.0,174.0,174.0,28,1.0,28,19.377513,-99.1652,03100,del valle centro,5300000.0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,30459.77011494253,5.3,0.030459770114942532
6137,3.0,2.0,1.0,200.0,200.0,11,1.0,11,19.432969,-99.18181,11520,granada,8350000.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,41750.0,8.35,0.04175
9103,3.0,1.0,0.0,150.0,245.0,1,3.0,1,19.421921,-99.10448,15900,jardín balbuena,5300000.0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,35333.333333333336,5.3,0.035333333333333335
27943,2.0,2.0,0.0,63.0,63.0,3,1.0,3,19.448956,-99.15711,06400,santa maría la ribera,2944300.0,False,False,False,False,False,False,False,True,False,False,True,False,True,False,46734.920634920636,2.9443,0.046734920634920636
25756,2.0,2.0,0.0,77.0,77.0,0,1.0,0,19.445419,-99.171396,11330,,3375138.0,False,False,False,False,False,False,False,True,False,False,True,False,True,False,43832.96103896104,3.375138,0.04383296103896104
25762,1.0,1.0,0.0,64.0,64.0,4,1.0,4,19.366061,-99.30038,05270,manzanastitla,2884500.0,False,False,False,True,False,False,False,True,False,False,True,False,False,False,45070.3125,2.8845,0.0450703125
13864,2.0,2.0,0.0,69.0,69.0,45,1.0,45,19.3619234,-99.1565773,03340,general pedro maria anaya,2795000.0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,40507.24637681159,2.795,0.04050724637681159
26566,3.0,3.0,0.0,144.0,144.0,5,1.0,5,19.364359,-99.153353,03300,,4895000.0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,33993.055555555555,4.895,0.033993055555555554
27914,2.0,2.0,0.0,64.0,64.0,0,1.0,0,19.404184,-99.115316,08400,granjas méxico,2089016.16,False,False,False,True,False,False,False,True,False,False,True,False,True,False,32640.8775,2.08901616,0.0326408775
26101,1.0,1.0,0.0,30.0,30.0,0,1.0,0,19.449422,-99.133193,06200,morelos,1634580.0,False,False,False,False,False,False,False,True,False,False,True,False,False,False,54486.0,1.63458,0.054486
28118,2.0,2.0,0.0,63.0,63.0,0,1.0,0,19.404184,-99.115316,08400,granjas méxico,2131806.92,False,False,False,True,False,False,False,True,False,False,True,False,True,False,33838.20507936508,2.13180692,0.03383820507936508
1187,2.0,1.0,0.0,71.0,71.0,2,1.0,2,19.376537,-99.19143,03910,mixcoac,3829750.0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,53940.140845070426,3.82975,0.05394014084507043
28115,1.0,1.0,0.0,40.0,40.0,0,1.0,0,19.42064,-99.172411,06700,roma norte,4708000.0,False,False,False,False,False,False,False,True,False,False,True,False,False,False,117700.0,4.708,0.1177
26728,3.0,2.0,0.0,98.0,88.0,0,1.0,0,19.44706,-99.194414,06760,roma sur,5386760.0,False,False,False,False,False,False,False,True,False,False,True,False,False,False,54966.93877551021,5.38676,0.054966938775510205
